cname,Teff_reso_bay,Teff_err_reso_bay,logg_reso_bay,logg_err_reso_bay,feh_reso_bay,feh_err_reso_bay,mgfe_reso_bay,mgfe_err_reso_bay,tife_reso_bay,tife_err_reso_bay,mnfe_reso_bay,mnfe_err_reso_bay,mass_wa_bay,mass_err_wa_bay,lum_wa_bay,lum_err_wa_bay,ges_field,GAL_R,GAL_Z,GAL_L,GAL_B,V_R,V_R_ERR,V_PHI,V_PHI_ERR,r_hi_photogeo,r_lo_photogeo,snr,Cat
04311853-5000206,4672.70887899526,1.5679621511614352,4.599443356827054,0.0005201690390148,-0.291414103880065,0.0032606692899303,-0.0218387911702732,0.0036016790269407,0.2264061909087034,0.0053966493320982,-0.1186219848234921,0.0052989891962664,0.6796624316082586,2.593485596651988e-06,0.2006351140274161,0.0005111689927775,GES_MW_04_05,8181.533520168699,-209.79117658248805,257.23364928479634,-42.66305855647861,4.005388160835649,0.5860077778323858,230.27485600652096,2.023697203296787,341.90543,338.83856,105.487,Thin_disc
04312713-5006021,5867.265640415339,14.88940798205028,4.45011974215308,0.0136107233465435,-0.3613492649224437,0.0066683572456733,-0.027108779649397,0.013510126388347,0.1279019366620868,0.0181727473643702,-0.2406153979445383,0.0202899841758742,0.906167844300774,0.0096745750420527,0.9380983376554436,0.0258163753557461,GES_MW_04_05,8346.796578906666,-747.9842950671739,257.3572490546672,-42.62752824504324,-11.6661521280274,0.9286397542604088,262.6077195764375,2.170437800588037,1158.5361,1107.6537,72.7004,Thin_disc
04312777-5001197,5858.693089045535,12.059940460333024,4.251801483902215,0.0143882150110351,-0.1985975869982921,0.0059765632200479,0.0387486962630282,0.0125789955582924,0.201030300252294,0.0133553060222892,-0.2740215328834592,0.0163623528753728,0.979994094450704,0.0050864548814661,1.5927937624172923,0.0557333882730881,GES_MW_04_05,8422.75323609932,-956.3618639164616,257.25127673096506,-42.63634738396407,-32.243262747687965,1.5668860588725688,218.53247917225733,2.0476370723464115,1482.2817,1400.8488,75.6058,Thin_disc
04313087-5013045,5697.350391969228,14.95812790647603,3.780847279790754,0.0319409798510785,-0.8344720252077802,0.006799142817688,0.2425469844925855,0.0151840585319018,0.2107955526328496,0.0214615890767718,-0.4871725985256462,0.0461280867183029,0.9609088216655874,0.0334638842037044,4.151444018976143,0.4737920220101312,GES_MW_04_05,8599.603574235629,-1414.5772596065697,257.513377146928,-42.601738027721815,-175.53995698246223,23.570038172092552,164.60198007073262,12.13361234688136,2336.7112,1887.387,81.0412,Thick_disc
04313348-5004049,5260.99535622203,10.474817035249918,3.4308906374796626,0.0203196815286903,-1.0206486520357054,0.0067858678529472,0.2136207507900471,0.0147886492591706,0.4541092342007852,0.0150312714734376,-0.4364365236762128,0.0216196451022296,0.90069936259831,0.0208918510077184,6.308055718246835,0.3791092810190833,GES_MW_04_05,8652.715248592254,-1526.3684285228785,257.3103099689679,-42.6150749009821,-77.62342676464462,3.877274039352968,116.52027508014734,4.34947400147099,2382.5137,2206.257,80.214,Thick_disc
04314098-6038547,4880.657715466594,0.001026776587798,4.509257998176426,4.012624673313146e-06,-0.0643312996224518,0.0061932610516558,0.0003714493614415,0.009872179837039,0.2480636712925473,0.0107477955399398,-0.0231723420090748,0.0111486358247098,0.839996,2.215316551023448e-11,0.3632110076679469,3.6996066977792247e-06,GES_MW_04_05,8124.972862131351,-321.2962010797939,271.1187135392665,-40.337173376408856,-67.00030964776622,0.6544480446139058,187.40703447040727,2.1973055017432745,533.0815,524.04626,50.4226,Thin_disc
04393237-5008177,4875.859476925274,4.428408398149766,4.546941345032978,0.0019842141598518,0.0315540711423665,0.0051914120860537,0.0182333816402323,0.0077028305457724,0.1864635541031334,0.0095750721498947,-0.0337233257444804,0.0099089838183389,0.7995597350242352,0.0005308686837314,0.3157968089614474,0.0025338647279497,GES_MW_04_05,8221.246208863347,-332.3850869033004,257.1976938120935,-41.3360765053404,9.393420402261109,0.7568309690116111,224.9850103032292,2.065460135165763,542.2887,529.69653,52.8569,Thin_disc
04394109-4559137,5166.302362645326,11.008447409779263,3.422698023110956,0.0237504746915391,-0.8060966806175287,0.0095244135321414,0.1898513425685933,0.0195435333207163,0.4378442691427215,0.0193346915158837,-0.2777802854949122,0.024814161737152,0.9302873840215254,0.0235668233933127,6.176134826523549,0.4066133995586719,GES_MW_04_05,8917.439867276575,-1681.72751516965,251.66890324078287,-41.61882440325106,-88.88475753299304,3.16576860303082,194.5896793401079,5.777643110103405,2682.16,2458.2644,52.9327,Thick_disc
04395623-4227495,4826.883370316586,3.294909849949073,4.576749515787477,0.003779465616537,-0.3166258942106443,0.00569853694368,0.0121250494200086,0.0083266205646408,0.2239877074286825,0.0110974827125694,-0.0626891666064678,0.0102657241767113,0.6995702893921147,2.187363443680339e-05,0.2477688839689432,0.002236339136064,GES_MW_04_05,8289.791890475517,-338.6109480633573,246.954718272369,-41.62304538287155,39.70704261786238,1.160400011365346,231.5619093559264,1.9224489844355688,547.0783,537.13605,51.0979,Thin_disc
04412664-5607035,5136.938356600159,4.751030057959313,4.527420575471441,0.002555940910603,-0.0497653664866191,0.0059382499714534,-0.0441255541538236,0.00962848627713,0.1070259550408362,0.0113060093743757,-0.0940631238486384,0.0100279509167947,0.7994906615002761,0.000653230297052,0.4069193796913111,0.0037762249153513,GES_MW_04_05,8173.161894120676,-349.2473211997628,264.9531158491059,-40.1750776694166,-14.622856834661407,0.416952632520143,255.4518570493594,2.1653585650760645,578.273,568.5247,59.2421,Thin_disc
04412922-5558027,4801.472058431783,4.254398257787927,4.586272902616085,0.0023941359150319,-0.3058051602767806,0.0050525950513514,-0.014983056878323,0.0067747151785321,0.2269042431580613,0.0092964697018327,-0.1198131999640954,0.0086234012056691,0.6996508366430005,0.0001123599663001,0.237346657068722,0.0012591153229617,GES_MW_04_05,8154.656374953631,-227.10591736549665,264.75843807266705,-40.19707224566655,-10.046519624338217,0.3450299119071691,253.74331013557165,2.16080998220048,386.35794,382.08963,66.623,Thin_disc
04415763-5603231,5131.708175562177,4.896845360830242,4.550453949714376,0.0022841123338116,-0.233248865149525,0.0058002744529719,-0.0480828559302545,0.009437052228344,0.1328437148427512,0.012588088157098,-0.0939991436123135,0.0100010967387574,0.7595106915442283,0.0001150511760453,0.3651112036705603,0.0033075554427572,GES_MW_04_05,8164.777746225844,-294.0401318079152,264.8569409435913,-40.115633665309645,28.283494164568225,0.6251354790089416,220.20782538015908,2.159722843086131,493.644,484.9767,61.6378,Thin_disc
04431495-0043315,4911.700576144165,0.225856986641054,4.5414437460233605,0.0002707717791242,-0.3532210083422646,0.0063871926933878,0.0209323320888058,0.0109145416943303,0.2652612781481637,0.0123169690607593,-0.072237641778351,0.0113337119515701,0.7399943691259194,0.0003240723674261,0.3047293059537312,0.0003097047017728,GES_MW_04_05,8542.437369878937,-217.3609612084218,197.70716288011377,-28.553451734509657,81.1707714322514,2.489146496057729,260.2804122217094,0.9899043817594892,508.17468,494.9196,50.8796,Thin_disc
04433219-0044254,4958.14821612491,8.000792013489423,2.6037205224756743,0.0225292603646007,-0.5074595159375934,0.0048118650748647,0.1395868995271742,0.0182237476337729,0.1497629339403165,0.0095138400217236,-0.1449248215710021,0.0091533531462726,1.685958669271148,0.0748883774611908,62.67668209652431,5.8283084925648,GES_MW_04_05,12606.72061973046,-2476.0888428234966,197.76366391185653,-28.49942340812855,28.898445145904223,3.349056386280345,202.4795931835923,2.806582199954061,5640.3354,4794.3965,69.0656,Thick_disc
04434552-0037404,5218.171987479132,8.743977488863473,3.591548830617594,0.0154647162868383,-0.4101954637434994,0.0067301217169644,0.0649210026561241,0.0139379388349706,0.191717673901672,0.0125721592032574,-0.1233145351623383,0.0110501002859891,1.2054984457765447,0.0293213621633008,5.641771163492159,0.2924865657059764,GES_MW_04_05,9356.114671392046,-670.6654864308249,197.6861213421989,-28.394104063333067,15.785294900251646,2.658740453286237,235.6249145667649,0.6859567738730578,1517.1903,1413.9679,62.0235,Thin_disc
04434873-0057442,4835.6513721246165,7.304216951505252,2.885499979184764,0.0211674141375797,-0.3962280082872205,0.0065251100897715,0.2995291867574589,0.0149800875932695,0.3080895116868068,0.0107031253103472,-0.1800814600463169,0.0118358618023426,0.9192686506290648,0.0274503418837656,16.1435597769565,1.1850629195229387,GES_MW_04_05,10948.91590153727,-1565.9301680675765,198.0208306483057,-28.55356832719153,-59.99844408079789,4.979640423077101,157.0012014544877,10.676285751239435,3659.5764,3104.8184,53.8686,Thick_disc
