C/H,N/H,Mg/H,Si/H,O/H,Fe/H,S/H,He/H,mass,name
0.0001371662167782445,3.446927282451288e-05,2.2563647320604804e-05,1.6520990667353094e-05,0.00024983640244655413,1.5704833159356424e-05,6.730615986914026e-06,0.07959631708957078,0.7991880551021819,01203329-4234340
0.0003601822233050341,9.051156928282028e-05,4.866183963013416e-05,4.338209866570143e-05,0.0006560914192475564,4.273925349953957e-05,1.767374649650798e-05,0.08063801477258864,0.8990063532166003,11125181-0950156
0.0003465269777096184,8.708174927126225e-05,6.128524642028916e-05,4.173684406592134e-05,0.0006312107367014122,4.106039452401304e-05,1.7004358789257736e-05,0.08060106921732868,1.0457667204209138,15062833-4003385
0.00019611993067513778,4.9284791043736887e-05,2.8133698246049708e-05,2.3621932895767587e-05,0.00035724162794634293,2.2754309156111006e-05,9.623594593264467e-06,0.07986876264339328,0.7793559038949404,04300774-2959338
0.0001942707640362533,4.8820128412241056e-05,2.7613590757210133e-05,2.3398867329085975e-05,0.00035387285946390605,2.2531934754604268e-05,9.532844665845664e-06,0.07985955654530419,0.7992658897829222,01201935-4236337
0.00017391759213049621,4.3705946080112224e-05,2.18133916939554e-05,2.094757720978381e-05,0.0003167865485814708,2.008877829501475e-05,8.534213867525331e-06,0.07975810449772908,0.7594536238706411,12125189-4102261
0.00017110790107834607,4.300008506126892e-05,2.446295083861604e-05,2.0609694633076318e-05,0.0003116885776623607,1.975263860438999e-05,8.396269588626808e-06,0.07975067005306433,0.7195470274836584,15103290-3558172
0.00015804043294051446,3.9715869042526914e-05,2.2264704280120878e-05,1.903456195764876e-05,0.00028787002483584813,1.8190419121794434e-05,7.755389603828435e-06,0.07968844001394869,0.7599969999814984,11041040-1802486
0.00020011002137166088,5.028996411500397e-05,2.5792568515502768e-05,2.4102987456599325e-05,0.0003645237280573795,2.3235241661292598e-05,9.819728556832172e-06,0.07988208946247317,0.8617819480757952,19402015-4659417
0.0002658288878991315,6.68024826338882e-05,4.5778897289052394e-05,3.2018091662069323e-05,0.0004842184179504444,3.119101985732165e-05,1.3044260437497947e-05,0.08021227819384565,0.9603189915211132,14002668-2806403
0.00017837567086717235,4.482666190194021e-05,2.5049161482151866e-05,2.148436430325235e-05,0.00032492357632968257,2.0623296238600123e-05,8.752804033907489e-06,0.07978406450348903,0.8107952897141175,12011895-2504018
